classement scratch;dossard;nom prenom;club;sexe;categorie;pays;classement par categorie;classement par sexe;temps;nb de point;
557;3431;BOUDIN YANNICK;ROLLOMATIC;H;Senior 2;FRA;59;378;05:35:31;0;
558;3521;HEKLINGER SYLVAIN;NOT FAST JUST FURIOUS;H;Senior 2;FRA;60;379;05:35:49;0;
559;3043;LEROY ALEXANDRE;;H;Senior 1;SUI;93;380;05:37:01;0;
560;3697;WU HAIYUE;;H;Senior 1;CHN;94;381;05:37:04;0;
561;3593;WERMEILLE SANDRA;;F;Senior 2;SUI;21;180;05:38:08;0;
562;3588;REIS JOSÉ;;H;Veteran;SUI;15;382;05:39:00;0;
563;3087;SCHILLING DANIEL;;H;Senior 1;SUI;95;383;05:41:38;0;
564;3086;STAUB MONIKA VIOLA;;F;Senior 1;SUI;50;181;05:41:39;0;
565;3168;LECLERE ALEXANDRA;MAGUELONE JOGGING;F;Senior 1;FRA;51;182;05:41:59;0;
566;3025;FOURCAULX-PALUSSIERE JESSY;;F;Senior 1;FRA;52;183;05:42:00;0;
567;3026;CRETTÉ AURÉLIEN;;H;Elite;FRA;204;384;05:42:00;0;
568;3445;MORAND MAUDE;;F;Elite;SUI;108;184;05:42:21;0;
569;3177;JUNQUAS CORENTIN;;H;Elite;SUI;205;385;05:42:21;0;
570;3570;SOMMER LAURENT;CARC;H;Senior 2;SUI;61;386;05:44:52;0;
571;3133;PAGE CHARLOTTE;DOLE TRIATHLON;F;Elite;FRA;109;185;05:45:19;0;
572;3101;AUBERT FLORENCE;;F;Senior 1;SUI;53;186;05:45:22;0;
573;3687;BELLO ANNE;;F;Senior 2;SUI;22;187;05:45:44;0;
574;3141;KELLER HECTOR;;H;Elite;SUI;206;387;05:45:44;0;
575;3008;NOIRAT BENJAMIN;;H;Senior 1;SUI;96;388;05:45:48;0;
576;3176;PUJOL SILVIA;;F;Senior 2;SUI;23;188;05:46:53;0;
577;3398;HAMMOUD VICTOR;TRAILEMAN;H;Elite;FRA;207;389;05:49:00;0;
578;3172;MARQUES ESPERANCE;NORDIQUE DES FÉE;F;Senior 1;SUI;54;189;05:49:55;0;
579;3240;BASSOT SEVERINE;SMAC SAINT MIHIEL;F;Senior 2;FRA;24;190;05:50:13;0;
580;3586;PAYET LYNDA;;F;Senior 1;FRA;55;191;05:50:14;0;
581;3126;AUBRY FRANCK;;H;Senior 2;FRA;62;390;05:51:12;0;
582;3134;PAGE GUYLAINE;PAS DE CLUB;F;Veteran;FRA;3;192;05:53:31;0;
583;5019;CHEN CHI;;H;Senior 1;GBR;97;391;05:54:06;0;
584;3051;YE FAYE;;F;Senior 1;GBR;56;193;05:54:08;0;
585;3285;GUERRY CAROLINE;TRICLUB ESTA BROYE;F;Senior 1;SUI;57;194;05:54:48;0;
586;3523;GUERRY FREDERIC;;H;Senior 1;SUI;98;392;05:54:49;0;
587;3549;CARRON FRÉDÉRIC;;H;Veteran;SUI;16;393;05:57:52;0;
588;3543;MEIZOZ VALÉRIE;LA FOULÉE SAILLONINTZE;F;Senior 1;SUI;58;195;05:57:53;0;
589;3117;HUET AMÉLIE;AGCV COSSÉ LE VIVIEN;F;Senior 1;FRA;59;196;05:58:47;0;
590;3692;NICOUD SERGE;;H;Veteran;SUI;17;394;06:01:00;0;
591;3187;BRIFFOD CÉLINE;;F;Senior 1;SUI;60;197;06:05:28;0;
592;3344;KLEMM WOJTEK;TRAIL MANIACS ZÜRICH;H;Senior 2;GER;63;395;06:05:29;0;
593;3644;L'EPLATTENIER JOSETTE;;F;Senior 2;SUI;25;198;06:05:36;0;
594;3460;QUENTIN FEHR;;H;Elite;FRA;208;396;06:08:44;0;
595;3023;POLIN CHRISTOPHE;ASPTT VERDUN;H;Senior 2;FRA;64;397;06:10:05;0;
596;3024;BAUGNON ISABELLE;ASPTT VERDUN;F;Senior 1;FRA;61;199;06:10:05;0;
597;3158;TOURTEAU VIRGINIE;CLUB ATHLETIC DE BEYNES;F;Senior 1;FRA;62;200;06:12:14;0;
598;3089;DUMONT SOPHIE;;F;Veteran;FRA;4;201;06:12:29;0;
599;3397;VIGIE CLAUDE;RUN PASSION TRAIL;H;Senior 1;FRA;99;398;06:16:46;0;
600;3482;LAMRAOUAH AMEL;;F;Senior 1;FRA;63;202;06:17:59;0;
601;3551;ZHANG TIANLONG;RUNNING PANDA;H;Elite;FRA;209;399;06:18:33;0;
602;3080;DIRIG CEDRIC;;H;Elite;SUI;210;400;06:46:14;0;
603;3053;REGRAGUI AUDREY;;F;Senior 1;FRA;64;203;06:46:24;0;
604;3171;SOMOGYI AUDREY;;F;Elite;SUI;110;204;06:49:26;0;
605;3698;CRAVERO CHARLOTTE;HONDA RC3L;F;Veteran;SUI;5;205;06:59:38;0;
606;3535;NUSSBAUM ANDRÉ;RC3L CROSS-CLUB NIDAU;H;Veteran;SUI;18;401;06:59:42;0;
607;3306;BRÜNING LOÏC;;H;Elite;SUI;211;402;07:10:49;0;
608;3049;MASTRANGELO SEBASTIANO;;H;Senior 2;FRA;65;403;07:19:14;0;
609;3645;GATTLEN DJAZIRA;PERFORM;F;Veteran;FRA;6;206;07:34:08;0;
610;2660;31K FERMEUR 2;;H;-;SUI;1;404;08:05:26;0;
611;3205;CHRISTEN GARY;SAULES BEACH;H;Veteran;SUI;19;405;08:05:28;0;
